Number of queries,2500000,Number of objects,1000000,Number of keywords,[1, 2, 3, 4, 5],Max grid granualitry,1024text perdicate,OVERlAPS
NumberOfKeywords, query insert time, object time, index size
1,2215,4196,2264989,11540645,2289124
2,3194,6369,5147945,26538915,5485647
3,4258,10129,7874782,41841882,8794057
4,6033,11905,11653412,61794140,13611056
5,7081,15297,14735679,79755254,17906638
