numberOfackers,0,evaluatorParrellism,36,routingParrellism,12,spoutParallesim,25,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED_TEXT_AWARE
Topology Id, Tornado-12-1469515317,Number of Workers,60,600,Spid,Tweets , emitt,1043072 , ack,0 , failed,0 , completeLatency,0.0, upTime,632_633_631_632_631_630_632_633_630_631_632_631_632_633_631_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,633_,totall,Spid,Tweets , emitt,647878460 , ack,0 , failed,0 , completeLatency,0.0, upTime,632_633_631_632_631_630_632_633_630_631_632_631_632_633_631_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,633_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,882312,,ExecutedstdTweets_default,7382.288489133047,,Eexecute_Latency,Tweets_default,0.001572488102830964,,minup time,630,maxup time,633,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,629,maxup time,633,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,547088660,,ExecutedstdTweets_default,4518220.49738837,,Eexecute_Latency,Tweets_default,0.001572488102830964,,minup time,630,maxup time,633,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,629,maxup time,633,
Topology Id, Tornado-12-1469515317,Number of Workers,60,600,Spid,Tweets , emitt,1024193 , ack,0 , failed,0 , completeLatency,0.0, upTime,695_694_694_694_692_694_697_693_691_693_695_694_695_694_692_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,693_,totall,Spid,Tweets , emitt,702755540 , ack,0 , failed,0 , completeLatency,0.0, upTime,695_694_694_694_692_694_697_693_691_693_695_694_695_694_692_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,693_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,887765,,ExecutedstdTweets_default,7300.777093403512,,Eexecute_Latency,Tweets_default,0.001559459881450481,,minup time,692,maxup time,696,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,690,maxup time,696,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,602243600,,ExecutedstdTweets_default,4967293.173285771,,Eexecute_Latency,Tweets_default,0.0015677314528391698,,minup time,692,maxup time,696,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,690,maxup time,696,
Topology Id, Tornado-12-1469515317,Number of Workers,60,600,Spid,Tweets , emitt,998677 , ack,0 , failed,0 , completeLatency,0.0, upTime,758_757_758_757_755_755_757_757_756_757_756_754_756_757_755_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,757_,totall,Spid,Tweets , emitt,757301740 , ack,0 , failed,0 , completeLatency,0.0, upTime,758_757_758_757_755_755_757_757_756_757_756_754_756_757_755_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,757_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,888488,,ExecutedstdTweets_default,7281.966556678827,,Eexecute_Latency,Tweets_default,0.001560409678343514,,minup time,754,maxup time,756,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,753,maxup time,760,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,657926040,,ExecutedstdTweets_default,5453951.533691243,,Eexecute_Latency,Tweets_default,0.0015651659279885873,,minup time,754,maxup time,756,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,753,maxup time,760,

numberOfackers,0,evaluatorParrellism,36,routingParrellism,5,spoutParallesim,10,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED_TEXT_AWARE
Topology Id, Tornado-13-1469516176,Number of Workers,53,600,Spid,Tweets , emitt,774306 , ack,0 , failed,0 , completeLatency,0.0, upTime,639_637_639_639_638_639_639_639_639_639_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,639_,totall,Spid,Tweets , emitt,486749200 , ack,0 , failed,0 , completeLatency,0.0, upTime,639_637_639_639_638_639_639_639_639_639_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,639_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,688818,,ExecutedstdTweets_default,3855.607341576451,,Eexecute_Latency,Tweets_default,0.0014265856663624602,,minup time,638,maxup time,642,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,636,maxup time,642,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,432488780,,ExecutedstdTweets_default,2355404.2133408864,,Eexecute_Latency,Tweets_default,0.0014265856663624602,,minup time,638,maxup time,642,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,636,maxup time,642,
Topology Id, Tornado-13-1469516176,Number of Workers,53,600,Spid,Tweets , emitt,768021 , ack,0 , failed,0 , completeLatency,0.0, upTime,692_688_690_690_691_691_691_691_691_690_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,690_,totall,Spid,Tweets , emitt,521854800 , ack,0 , failed,0 , completeLatency,0.0, upTime,692_688_690_690_691_691_691_691_691_690_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,690_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,692297,,ExecutedstdTweets_default,4000.326127040894,,Eexecute_Latency,Tweets_default,0.0014179811909758911,,minup time,692,maxup time,693,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,687,maxup time,693,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,468678780,,ExecutedstdTweets_default,2682162.1923336405,,Eexecute_Latency,Tweets_default,0.001426614830714457,,minup time,692,maxup time,693,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,687,maxup time,693,
Topology Id, Tornado-13-1469516176,Number of Workers,53,600,Spid,Tweets , emitt,757918 , ack,0 , failed,0 , completeLatency,0.0, upTime,752_749_750_751_755_755_751_753_754_750_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,753_,totall,Spid,Tweets , emitt,563690800 , ack,0 , failed,0 , completeLatency,0.0, upTime,752_749_750_751_755_755_751_753_754_750_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,753_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,694097,,ExecutedstdTweets_default,3851.0981977938595,,Eexecute_Latency,Tweets_default,0.0014170203192502536,,minup time,753,maxup time,756,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,750,maxup time,756,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,512466320,,ExecutedstdTweets_default,2823345.655080865,,Eexecute_Latency,Tweets_default,0.0014247427569792867,,minup time,753,maxup time,756,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,750,maxup time,756,

numberOfackers,0,evaluatorParrellism,36,routingParrellism,3,spoutParallesim,10,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED_TEXT_AWARE
Topology Id, Tornado-14-1469517034,Number of Workers,51,600,Spid,Tweets , emitt,557746 , ack,0 , failed,0 , completeLatency,0.0, upTime,640_636_637_640_637_639_637_639_636_636_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,639_,totall,Spid,Tweets , emitt,356981400 , ack,0 , failed,0 , completeLatency,0.0, upTime,640_636_637_640_637_639_637_639_636_636_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,639_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,438700,,ExecutedstdTweets_default,4963.7766597995715,,Eexecute_Latency,Tweets_default,0.0013193936669142804,,minup time,638,maxup time,642,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,635,maxup time,642,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,274940980,,ExecutedstdTweets_default,3108596.4113442297,,Eexecute_Latency,Tweets_default,0.0013193936669142804,,minup time,638,maxup time,642,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,635,maxup time,642,
